,username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language,Polarity,Polarity_distribution,len_tweet,word_count_tweet
633,mucke121, cases like necessary use blockchain technology like trail trac tracking vaccines supplly chain trac uk solution recognised tx,p14416575,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,178,137,en,0.0,Neutral,126,19
634,paulineannejack, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,1097,1183,en,0.3,Negative,135,21
635,shelo_mrs, pfizer e injection effective children aged effective pfizer take responsibility deaths life destroying injuries arising itkeep away children,fionamflanagan1,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,4563,4993,en,0.22500000000000003,Negative,141,19
636,lucylunalula, pfizer moderns novavax hand believe different new type vaccine cant comment work,fionamflanagan1,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,37,255,en,0.06818181818181818,Negative,81,13
637,abcde12, pfizer says brussels red tape significant burden vaccine supply chain,mailonline,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,1991,4936,en,0.1875,Negative,70,11
638,janjonesauthor, aged aunt second pfizer jab yesterday today keep eyes open apparently side effect shot e sailed first one,mailonline,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,4137,761,en,0.04,Negative,106,19
639,elibo_17, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,2312,2361,en,0.3,Negative,135,21
640,lawyerstan, pfizer warns eu border controls damaging vaccine production,guidofawkes,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,1822,2321,en,0.0,Neutral,60,9
641,rob_tat, shortcomings put mildly vaccine rollout amp supply great ignore phase completed yet moving states territories consider sourcing pfizer directly tga approve moderna j amp j move faster,billbowtell,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,65,314,en,0.41111111111111115,Negative,184,28
642,darlenemarbella, senate invited president aquino attend hearings mamasapano dengva attended neck brace inquiring minds wonder senate invited president duterte talk pandemic corruption ph health pfizer vaccines cowardly much,societyofhonor,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,29,435,en,0.2,Negative,207,28
643,covidvaccinela, selecting mega pod pomona fairplex early childhood education pfizer east arrow highway gate la verne ca buggy may available,societyofhonor,"[{'text': 'Pfizer', 'indices': [113, 120]}, {'text': 'Astzeneca', 'indices': [125, 135]}]",2021-04-01,1451,4,en,0.25,Negative,124,20
644,koshlantatiana, tools structure analysis inhibitory potency binding ability small molecule inhibitor dissociation constants enzyme kinetic parameters drug resistance pharmacy soft astrazeneca pfizer roche novartis biological,societyofhonor,"[{'text': 'Software', 'indices': [24, 33]}]",2021-04-01,1,6,en,-0.075,Positive,209,25
645,iweller_health, pfizer coronavirus vaccine percent effective children aged new study finds coronavirus news sumary pfizer coronavirus vaccine percent effective children aged new study finds want know,societyofhonor,"[{'text': 'Coronavirus_News', 'indices': [92, 109]}]",2021-04-01,148,140,en,0.21212121212121207,Negative,184,26
646,susanmacmillan, fantastic video e clearly best vaccine take one offered via,hjaltshul,"[{'text': 'COVID19Vaccine', 'indices': [109, 124]}]",2021-04-01,3313,1685,en,0.7,Negative,60,11
647,miamalan, dates covidvaccine arrivals zwelimkhize morning j amp j million week april million may million june million july pfizer million april june million covax e dates,hjaltshul,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,34663,1525,en,0.0,Neutral,161,26
648,rob_tat, david littleproud april fool lambasting feds failure engage qld building national quarantine facility amp littleproud trying get andrew laming news cycle qld currently days supply pfizer amp az qldpol,qldaah,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,65,314,en,-0.15833333333333335,Positive,201,30
649,insatiableblue, senate invited president aquino attend hearings mamasapano dengva attended neck brace inquiring minds wonder senate invited president duterte talk pandemic corruption ph health pfizer vaccines cowardly much,societyofhonor,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,135,464,en,0.2,Negative,207,28
650,pikesandchars, rlly scared getting az one making wait pfizer moderna,societyofhonor,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,1001,435,en,0.0,Neutral,54,10
651,akothran, clinical trial results pfizer biontech covid vaccine indicate percent effective well tolerated year olds,everydayhealth,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,287,283,en,0.6,Negative,105,15
652,khenlyesq, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,246,265,en,0.3,Negative,135,21
653,allandell2, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'COVIDVaccine', 'indices': [10, 23]}, {'text': 'ZweliMkhize', 'indices': [35, 47]}]",2021-04-01,266,1034,en,0.3,Negative,135,21
654,michael31150n, pfizer accused eu hampering covid vaccine production us drugmaker supplies britain countries coronavirus jabs said new eu rules free movement goods across borders damaging ability e vaccine,kellerzoe,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,83,552,en,0.2681818181818182,Negative,190,28
655,helen_it, receipts get infected infect anyone else means vaccines reduce transmission well disease,kellerzoe,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,1980,1963,en,0.0,Neutral,89,13
656,bsegulin, long americans start putting pfizer moderna stickers car windows,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,891,1591,en,-0.05,Positive,65,10
657,p14416575, tx could interesting solution prevent huge loses vaccine factory mix happens uk trail trac,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,506,832,en,0.20000000000000004,Negative,91,15
658,simplysimontfa, pfizer boss accuses eu hampering covid vaccine rollout,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,12854,2321,en,0.0,Neutral,55,9
659,healthbuzzbe, buzzing belgian healthcare community pfizer biontech vaccine said powerfully protective adolescents,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,1576,3047,en,0.3,Negative,100,12
660,nedpamphilon, look eyes matt hancock believe says thinking getting go holiday go pub absurd reason taking e gene based vaccine dr mike yeadon ex vp pfizer,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,499,370,en,-0.5,Positive,141,26
661,newsfilterio, pfizer vaccine results adolescents good news white house pfe,garysheffieldjr,"[{'text': 'Pfizer', 'indices': [15, 22]}]",2021-04-01,20634,180,en,0.35,Negative,61,10
662,jonneepac, note longhaulers maybe kick completely see anecdotal dose removed intense fatigue one lady wonder like antiinflammatory meds psoriasis stops proper antibody response disease,garysheffieldjr,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,163,1400,en,0.10000000000000002,Negative,174,24
663,myorangeisstuck, hong kong resume use biontech covid vaccines apr,channelnewsasia,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,204,169,en,0.0,Neutral,49,9
664,thenamescam1, got pfizer partner got moderna mean use condom,doinkpatrol,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,429,520,en,-0.3125,Positive,47,9
665,curiouscrippin, ms von der leyen vaccine war wrecking european dream pfizer boss accuses eu hampering covid vaccine rollout via,communicipalist,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,1434,3066,en,0.0,Neutral,112,19
666,wtnh, covid vaccine children well underway reaction doctors pfizer new findings young teens getting vaccine coming good morning ct,communicipalist,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,273479,347,en,0.3121212121212121,Negative,125,19
667,eyednan, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,573,469,en,0.3,Negative,135,21
668,supersandro, covid citywhen pfizer met sallyfauci michelle high school reunion,digbylj,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,184,530,en,0.16,Negative,66,10
669,sharrono2, impressive results pfizer covid vaccine year old kids e protection cases versus e safety younger children already better antibodies adults bodes well covid vaccines kids,profshanecrotty,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,41,152,en,0.4,Negative,170,26
670,jonesnews, got pfizer monday little tired everyone reaction different,profshanecrotty,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,7873,7189,en,-0.19583333333333333,Positive,59,9
671,chandi2012, impressive results pfizer covid vaccine year old kids e protection cases versus e safety younger children already better antibodies adults bodes well covid vaccines kids,profshanecrotty,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,4922,246,en,0.4,Negative,170,26
672,robertsessford1, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,10995,9648,en,0.3,Negative,135,21
673,bennybongop3fan, pfizer say e vaccines plant belgium delayed ridden e nightmare augers really well future confidence eu good location inward investment,digbylj,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,537,334,en,0.3,Negative,135,21
674,goodypunch, pfizer inc biontech se said wednesday covid vaccine safe effective produced robust antibody responses year olds paving way seek u emergency use authorization weeks,reuters_health,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,2444,4626,en,0.55,Negative,164,25
675,kerrie53774059, covid vaccine completed safely yesterday thanks wonderful team centre wythenshawe hospital research pfizervaccine astrazenaca,reuters_health,"[{'text': 'longhaulers', 'indices': [20, 32]}, {'text': 'COVID19', 'indices': [50, 58]}, {'text': 'anecdotal', 'indices': [96, 106]}]",2021-04-01,43,64,en,0.5666666666666667,Negative,126,15
676,jobeone125, breakingnews happened backintights oh got pfizervaccine,reuters_health,"[{'text': 'BreakingNews', 'indices': [0, 13]}, {'text': 'backintights', 'indices': [28, 41]}, {'text': 'PfizerVaccine', 'indices': [64, 78]}]",2021-04-01,122,731,en,0.0,Neutral,56,7
677,jeffleroydavis, early trial data shows pfizervaccine effective preventing severe illness children ages discuss dr william schaffner amp talk astrazeneca vaccine amp europe interest russia sputnikv covidvaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [44, 58]}]",2021-04-01,1579,909,en,0.35,Negative,194,26
678,frank3davies, ivor cummins applies dishwasher make toast principle fantastic results reported nejm israel early e pfizervaccine let show nonsense going spin,dr_barrett,"[{'text': 'NEJM', 'indices': [119, 124]}]",2021-04-01,3431,4627,en,0.25,Negative,143,21
679,haikulsume, pfizer biontech jab effective kids aged coronaviruspandemic,the_nation,"[{'text': 'PfizerVaccine', 'indices': [96, 110]}, {'text': 'CoronavirusPandemic', 'indices': [111, 131]}]",2021-04-01,99,64,en,0.25,Negative,60,8
680,newellfisher, swindon worse side effects probably needed protection pfizervaccine astrazeneca,the_nation,"[{'text': 'PfizerVaccine', 'indices': [91, 105]}, {'text': 'AstraZeneca', 'indices': [106, 118]}]",2021-04-01,678,863,en,-0.4,Positive,80,10
681,pradeep45377304, pfizer says covid vaccine safe young teens effective yr olds india group pfizervaccine covidvaccine read,nvitweets,"[{'text': 'Pfizer', 'indices': [15, 22]}, {'text': 'Covid', 'indices': [32, 38]}, {'text': 'vaccine', 'indices': [39, 47]}]",2021-04-01,1,15,en,0.39999999999999997,Negative,105,16
682,moskito24, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'Pfizer', 'indices': [15, 22]}, {'text': 'Covid', 'indices': [32, 38]}, {'text': 'vaccine', 'indices': [39, 47]}]",2021-04-01,135,87,en,0.27499999999999997,Negative,185,26
683,the_nation, pfizer biontech jab effective kids aged coronaviruspandemic,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [80, 94]}, {'text': 'CoronavirusPandemic', 'indices': [95, 115]}]",2021-04-01,96074,270,en,0.25,Negative,60,8
684,jessandunnotis, e news pfizervaccine effectiveness children rosemary skeptical russia stay safe cheers astrazeneca russia sputnikv covidvaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [33, 47]}]",2021-04-01,4450,4994,en,0.0,Neutral,128,16
685,jessandunnotis, early trial data shows pfizervaccine effective preventing severe illness children ages discuss dr william schaffner amp talk astrazeneca vaccine amp europe interest russia sputnikv covidvaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [44, 58]}]",2021-04-01,4450,4994,en,0.35,Negative,194,26
686,librariandyw, mags pfizervaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [33, 47]}]",2021-04-01,1558,1031,en,0.0,Neutral,19,3
687,walkercoastal, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [33, 47]}]",2021-04-01,551,935,en,0.27499999999999997,Negative,185,26
688,rmgltd, great involved helping recent covidvaccine roll buckshaw third day doses pfizervaccine distributed buckshaw risk rmgbuckshaw,rmgbuckshaw,"[{'text': 'CovidVaccine', 'indices': [80, 93]}, {'text': 'Buckshaw', 'indices': [106, 115]}]",2021-04-01,2787,593,en,0.26666666666666666,Negative,125,16
689,rmgltd, assisting latest pfizervaccine roll buckshaw communitycentre patients scheduled today receive either first second doses today communityspirit rmgbuckshaw,rmgbuckshaw,"[{'text': 'PfizerVaccine', 'indices': [67, 81]}, {'text': 'Buckshaw', 'indices': [94, 103]}, {'text': 'CommunityCentre', 'indices': [104, 120]}]",2021-04-01,2787,593,en,0.25,Negative,154,18
690,laurencepearl, molecular level e busy making spike protein pfizervaccine,lugerlab,"[{'text': 'PfizerVaccine', 'indices': [77, 91]}]",2021-04-01,1572,1229,en,0.1,Negative,58,9
691,crysc6mar, yay sunday pfizervaccine muah lt,lugerlab,"[{'text': 'PfizerVaccine', 'indices': [28, 42]}]",2021-04-01,254,1625,en,0.0,Neutral,33,6
692,amb0306, early trial data shows pfizervaccine effective preventing severe illness children ages discuss dr william schaffner amp talk astrazeneca vaccine amp europe interest russia sputnikv covidvaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [44, 58]}]",2021-04-01,436,987,en,0.35,Negative,194,26
693,muushu, early trial data shows pfizervaccine effective preventing severe illness children ages discuss dr william schaffner amp talk astrazeneca vaccine amp europe interest russia sputnikv covidvaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [44, 58]}]",2021-04-01,290,424,en,0.35,Negative,194,26
694,rosemarycnn, early trial data shows pfizervaccine effective preventing severe illness children ages discuss dr william schaffner amp talk astrazeneca vaccine amp europe interest russia sputnikv covidvaccine,rosemarycnn,"[{'text': 'PfizerVaccine', 'indices': [27, 41]}]",2021-04-01,55394,4334,en,0.35,Negative,194,26
695,george08146130, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [27, 41]}]",2021-04-01,132,89,en,0.27499999999999997,Negative,185,26
696,vohglobal, pfizer says covid vaccine protects younger teens healthcarenews covid vaccinationdrive covidvaccine pfizer pfizervaccine,libertytarian,"[{'text': 'healthcare', 'indices': [82, 93]}, {'text': 'healthcarenews', 'indices': [94, 109]}]",2021-04-01,2024,70,en,0.0,Neutral,121,14
697,alinaderzad, pfizer second jab side effects according three different reports blood pressure drops become white snow bellyaches follow scary passes quickly better clear calendar half day keep someone hand vaccination pfizervaccine,libertytarian,"[{'text': 'healthcare', 'indices': [82, 93]}, {'text': 'healthcarenews', 'indices': [94, 109]}]",2021-04-01,753,77,en,-0.00952380952380952,Positive,218,31
698,preetibchopra, one throw light pfizervaccine coming india,apsapre,"[{'text': 'PfizerVaccine', 'indices': [57, 71]}]",2021-04-01,1526,2195,en,0.4,Negative,43,7
699,breaknlinks, covid vaccine effective adolescents aged says pfizer covidvaccine pfizervaccine coronavirus teens adolescents health immunity vaccination herdimmunity schools reopening,apsapre,"[{'text': 'Pfizer', 'indices': [107, 114]}]",2021-04-01,134,24,en,0.25,Negative,169,19
700,biharivikash0, officially received first dose pfizervaccine honestly say lot less painful flu vaccine hoping second dose smooth one went writing writinglife writingcommunityall best,barikalisha,"[{'text': 'PfizerVaccine', 'indices': [60, 74]}, {'text': 'COVID19', 'indices': [83, 91]}]",2021-04-01,2710,1247,en,0.1976190476190476,Negative,167,23
701,bhaskarlivein, pfizer biontech covid vax shows efficacy yrs oldread pfizer pfizervaccine biontech,barikalisha,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'PfizerVaccine', 'indices': [93, 107]}]",2021-04-01,1221,87,en,0.0,Neutral,83,12
702,ay_amys, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'PfizerVaccine', 'indices': [93, 107]}]",2021-04-01,157,268,en,0.27499999999999997,Negative,185,26
703,fpjindia, biontech pfizer covid vaccine potent among adolescents pfizervaccine,libertytarian,"[{'text': 'COVID19', 'indices': [65, 73]}, {'text': 'PfizerVaccine', 'indices': [74, 88]}]",2021-04-01,27815,563,en,0.5,Negative,69,9
704,pixstoryapp, pfizer says vaccine safe adolescents would ne step towards herd immunity foundonpi herdimmunity,libertytarian,"[{'text': 'FoundOnPixstory', 'indices': [90, 106]}]",2021-04-01,950,27,en,0.5,Negative,96,14
705,ethealthworld, ethealthworld pfizer covid vaccine safe effective kids aged companies say pfizervaccine biontech,libertytarian,"[{'text': 'pfizervaccine', 'indices': [94, 108]}]",2021-04-01,7003,876,en,0.3333333333333333,Negative,97,13
706,dawn29_dawn, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'pfizervaccine', 'indices': [94, 108]}]",2021-04-01,527,1522,en,0.27499999999999997,Negative,185,26
707,drchriser, pfizer vax even younger populations e news look forward data meantime continue wear mask thank pfizervaccine covidvaccine fo wearamask chicagodoc,libertytarian,"[{'text': 'pfizervaccine', 'indices': [94, 108]}]",2021-04-01,435,256,en,0.0,Neutral,146,21
708,kaptainkaosatx, j amp j baby powder safely pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [73, 87]}]",2021-04-01,1984,1810,en,0.5,Negative,41,8
709,rezzurektedpoet, questions ponder effects law abiding citizen imagine mass e vaccinepassport vaccine pfizervaccine billgates modernavaccine vaccines lockdowns coronavirus democrats joebiden republicans libertarians wakeup,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [73, 87]}]",2021-04-01,1860,1508,en,0.0,Neutral,205,23
710,_tatumshea, got second dose covid vaccine happier vaccinated pfizervaccine teen getvaccinated,libertytarian,"[{'text': 'vaccinated', 'indices': [72, 83]}, {'text': 'PfizerVaccine', 'indices': [84, 98]}, {'text': 'teen', 'indices': [99, 104]}]",2021-04-01,52,79,en,0.0,Neutral,82,11
711,tonesofhome26, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'vaccinated', 'indices': [72, 83]}, {'text': 'PfizerVaccine', 'indices': [84, 98]}, {'text': 'teen', 'indices': [99, 104]}]",2021-04-01,1473,3687,en,0.27499999999999997,Negative,185,26
712,shamankaw, got first covid shot yesterday horrible frightening nightmares anyone else e pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [114, 128]}]",2021-04-01,1,5,en,-0.4166666666666667,Positive,91,13
713,activistbowen2, cantonese news amp running ne week april hkt pfizervaccine pfizer,libertytarian,"[{'text': 'PFIZERVACCINE', 'indices': [92, 106]}, {'text': 'PFIZER', 'indices': [107, 114]}]",2021-04-01,4037,5003,en,0.0,Neutral,66,11
714,apsapre, one throw light pfizervaccine coming india,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [44, 58]}]",2021-04-01,425,160,en,0.4,Negative,43,7
715,barwonhealth, loretta give first pfizervaccine e system e info well done barwon health,diarmuidmccoy,"[{'text': 'PfizerVaccine', 'indices': [54, 68]}]",2021-04-01,5839,355,en,0.25,Negative,73,13
716,millerm88028337, linden happy mostly finally going leaving house vaccinated pfizervaccine shotsinarms love science,maryltrump,"[{'text': 'vaccinated', 'indices': [110, 121]}, {'text': 'PfizerVaccine', 'indices': [122, 136]}]",2021-04-01,250,2009,en,0.43333333333333335,Negative,98,13
717,lyndawatersnewk, first vaccine show data children young promising first step towards vaccinating younger younger americans pfizer pfizervaccine news children,abc7ny,"[{'text': 'vaccinated', 'indices': [110, 121]}, {'text': 'PfizerVaccine', 'indices': [122, 136]}]",2021-04-01,1014,3545,en,0.13333333333333333,Negative,141,19
718,hotshortie11, booked second vaccination pfizervaccine tomorrow fully vaccinated,colettebalmain,"[{'text': 'PfizerVaccine', 'indices': [54, 68]}]",2021-04-01,194,322,en,0.0,Neutral,66,8
719,daniel_conde99, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [54, 68]}]",2021-04-01,105,622,en,0.27499999999999997,Negative,185,26
720,jytgamesmain, got first covid vaccine vaccine vaccinated vaccinessavelives pfizergang pfizervaccine getvaccinated,helenangel,"[{'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'vaccine', 'indices': [56, 64]}, {'text': 'vaccinated', 'indices': [65, 76]}, {'text': 'VaccinesSaveLives', 'indices': [77, 95]}, {'text': 'PfizerGang', 'indices': [96, 107]}, {'text': 'PfizerVaccine', 'indices': [108, 122]}, {'text': 'GetVaccinated', 'indices': [123, 137]}]",2021-04-01,48,153,en,0.25,Negative,100,11
721,alonzolyons, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'vaccine', 'indices': [56, 64]}, {'text': 'vaccinated', 'indices': [65, 76]}, {'text': 'VaccinesSaveLives', 'indices': [77, 95]}, {'text': 'PfizerGang', 'indices': [96, 107]}, {'text': 'PfizerVaccine', 'indices': [108, 122]}, {'text': 'GetVaccinated', 'indices': [123, 137]}]",2021-04-01,1009,837,en,0.27499999999999997,Negative,185,26
722,cindysm60896393, effective children put risk profit amp control kids statistically zero chance getting covid pfizer made pre vaccinewill make vax alonepure bigpharma greedsafety long test pfizervaccine,libertytarian,"[{'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'vaccine', 'indices': [56, 64]}, {'text': 'vaccinated', 'indices': [65, 76]}, {'text': 'VaccinesSaveLives', 'indices': [77, 95]}, {'text': 'PfizerGang', 'indices': [96, 107]}, {'text': 'PfizerVaccine', 'indices': [108, 122]}, {'text': 'GetVaccinated', 'indices': [123, 137]}]",2021-04-01,24,47,en,0.27499999999999997,Negative,185,26
723,collectedtimes, pfizer says vaccine efficacy adolescents ages sources photo via theblaze pfizer children vaccine pfizervaccine,libertytarian,"[{'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'vaccine', 'indices': [56, 64]}, {'text': 'vaccinated', 'indices': [65, 76]}, {'text': 'VaccinesSaveLives', 'indices': [77, 95]}, {'text': 'PfizerGang', 'indices': [96, 107]}, {'text': 'PfizerVaccine', 'indices': [108, 122]}, {'text': 'GetVaccinated', 'indices': [123, 137]}]",2021-04-01,23,36,en,0.0,Neutral,111,15
724,yarn_and_ux, finally got stabbed wait hotspot kick covidvaccine pfizervaccine,libertytarian,"[{'text': 'CovidVaccine', 'indices': [62, 75]}, {'text': 'PfizerVaccine', 'indices': [76, 90]}]",2021-04-01,48,277,en,0.0,Neutral,65,9
725,hpla25, got vaccine today pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [26, 40]}]",2021-04-01,100,530,en,0.0,Neutral,32,5
726,captainmcwow, pfizer dose administered good times coming pfizervaccine,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [59, 73]}, {'text': 'COVID19Vaccine', 'indices': [74, 89]}]",2021-04-01,105,1105,en,0.7,Negative,57,8
727,fioredinotte33, yo pfizervaccine vaers leukemia cancer oncology hematology vaccinesideeffects received second dose patient e acute myeloid leukemia onset date event reported,libertytarian,"[{'text': 'PfizerVaccine', 'indices': [9, 23]}, {'text': 'VAERS', 'indices': [25, 31]}, {'text': 'Leukemia', 'indices': [32, 41]}, {'text': 'Cancer', 'indices': [42, 49]}, {'text': 'Oncology', 'indices': [50, 59]}, {'text': 'Hematology', 'indices': [60, 71]}, {'text': 'vaccineSideEffects', 'indices': [72, 91]}]",2021-04-01,443,1693,en,0.3,Negative,158,21
728,realshow128, got first covid vaccine vaccine vaccinated vaccinessavelives pfizergang pfizervaccine getvaccinated,helenangel,"[{'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'vaccine', 'indices': [56, 64]}, {'text': 'vaccinated', 'indices': [65, 76]}, {'text': 'VaccinesSaveLives', 'indices': [77, 95]}, {'text': 'PfizerGang', 'indices': [96, 107]}, {'text': 'PfizerVaccine', 'indices': [108, 122]}, {'text': 'GetVaccinated', 'indices': [123, 137]}]",2021-04-01,184,272,en,0.25,Negative,100,11
